genename|geneid	genename	geneid
NAT1|9	NAT1	9
SERPINA3|12	SERPINA3	12
ABAT|18	ABAT	18
ACADSB|36	ACADSB	36
ACTG2|72	ACTG2	72
PARP1|142	PARP1	142
ANXA3|306	ANXA3	306
BIRC5|332	BIRC5	332
AR|367	AR	367
BCL2|596	BCL2	596
CA12|771	CA12	771
CAV1|857	CAV1	857
CDC20|991	CDC20	991
CDH3|1001	CDH3	1001
CDKN1C|1028	CDKN1C	1028
CDKN3|1033	CDKN3	1033
CDO1|1036	CDO1	1036
CENPA|1058	CENPA	1058
CENPF|1063	CENPF	1063
CIRBP|1153	CIRBP	1153
CKS2|1164	CKS2	1164
CNN1|1264	CNN1	1264
COL17A1|1308	COL17A1	1308
CRYAB|1410	CRYAB	1410
CSRP2|1466	CSRP2	1466
CSTB|1476	CSTB	1476
NQO1|1728	NQO1	1728
EPHX2|2053	EPHX2	2053
ERBB2|2064	ERBB2	2064
ESR1|2099	ESR1	2099
FBP1|2203	FBP1	2203
FGFR4|2264	FGFR4	2264
FOXC1|2296	FOXC1	2296
FLNB|2317	FLNB	2317
FMO5|2330	FMO5	2330
GABRP|2568	GABRP	2568
GAMT|2593	GAMT	2593
GARS1|2617	GARS1	2617
GATA3|2625	GATA3	2625
GFRA1|2674	GFRA1	2674
GRB7|2886	GRB7	2886
GSN|2934	GSN	2934
GSTP1|2950	GSTP1	2950
FOXA1|3169	FOXA1	3169
HOXA5|3202	HOXA5	3202
HPN|3249	HPN	3249
ID4|3400	ID4	3400
IGBP1|3476	IGBP1	3476
IGF1|3479	IGF1	3479
IGFBP6|3489	IGFBP6	3489
IRS1|3667	IRS1	3667
KIT|3815	KIT	3815
KRT5|3852	KRT5	3852
KRT14|3861	KRT14	3861
KRT17|3872	KRT17	3872
KRT18|3875	KRT18	3875
LAMA3|3909	LAMA3	3909
LBR|3930	LBR	3930
LDHB|3945	LDHB	3945
LYN|4067	LYN	4067
MAD2L1|4085	MAD2L1	4085
MAPT|4137	MAPT	4137
MCM2|4171	MCM2	4171
MEOX1|4222	MEOX1	4222
MFAP4|4239	MFAP4	4239
MMP7|4316	MMP7	4316
MNAT1|4331	MNAT1	4331
MYO10|4651	MYO10	4651
NEK2|4751	NEK2	4751
NFIB|4781	NFIB	4781
NPY1R|4886	NPY1R	4886
PCNA|5111	PCNA	5111
PRKX|5613	PRKX	5613
PSMD12|5718	PSMD12	5718
PTN|5764	PTN	5764
RARRES1|5918	RARRES1	5918
RBBP8|5932	RBBP8	5932
RFC4|5984	RFC4	5984
RRM2|6241	RRM2	6241
S100A8|6279	S100A8	6279
CX3CL1|6376	CX3CL1	6376
SDC1|6382	SDC1	6382
MAP2K4|6416	MAP2K4	6416
SFRP1|6422	SFRP1	6422
NEK4|6787	NEK4	6787
TFF3|7033	TFF3	7033
TK1|7083	TK1	7083
TSPAN7|7102	TSPAN7	7102
TOP2A|7153	TOP2A	7153
TTK|7272	TTK	7272
TYMS|7298	TYMS	7298
VWF|7450	VWF	7450
DNALI1|7802	DNALI1	7802
PLPP3|8613	PLPP3	8613
STC2|8614	STC2	8614
TIMELESS|8914	TIMELESS	8914
KYNU|8942	KYNU	8942
PRC1|9055	PRC1	9055
ASH2L|9070	ASH2L	9070
CCNB2|9133	CCNB2	9133
PTTG1|9232	PTTG1	9232
TCEAL1|9338	TCEAL1	9338
ITM2A|9452	ITM2A	9452
CELSR1|9620	CELSR1	9620
MELK|9833	MELK	9833
WASHC5|9897	WASHC5	9897
ATP2C2|9914	ATP2C2	9914
PUM3|9933	PUM3	9933
SAE1|10055	SAE1	10055
NDC80|10403	NDC80	10403
UBE2E3|10477	UBE2E3	10477
STARD3|10948	STARD3	10948
KIF2C|11004	KIF2C	11004
UBE2C|11065	UBE2C	11065
KIF13B|23303	KIF13B	23303
TRIM29|23650	TRIM29	23650
SHC2|25759	SHC2	25759
SLC39A6|25800	SLC39A6	25800
SPDEF|25803	SPDEF	25803
TSPAN13|27075	TSPAN13	27075
TNFRSF21|27242	TNFRSF21	27242
CNIH4|29097	CNIH4	29097
RACGAP1|29127	RACGAP1	29127
TFCP2L1|29842	TFCP2L1	29842
HSPA14|51182	HSPA14	51182
ECSIT|51295	ECSIT	51295
DTL|51514	DTL	51514
CYRIB|51571	CYRIB	51571
BCL11A|53335	BCL11A	53335
RETREG1|54463	RETREG1	54463
SYTL2|54843	SYTL2	54843
TTC12|54970	TTC12	54970
EPN3|55040	EPN3	55040
SOBP|55084	SOBP	55084
CDCA8|55143	CDCA8	55143
CEP55|55165	CEP55	55165
LAPTM4B|55353	LAPTM4B	55353
INAVA|55765	INAVA	55765
PBK|55872	PBK	55872
DNAJC12|56521	DNAJC12	56521
NDRG2|57447	NDRG2	57447
MRTFB|57496	MRTFB	57496
SCUBE2|57758	SCUBE2	57758
MLPH|79083	MLPH	79083
FA2H|79152	FA2H	79152
ARMT1|79624	ARMT1	79624
CENPU|79682	CENPU	79682
APH1B|83464	APH1B	83464
MACIR|90355	MACIR	90355
TSHZ2|128553	TSHZ2	128553
ASPM|259266	ASPM	259266
